runtime,popularity,vote_average,popularity_log
150.0,101.599427,5.6,4.630832347925753
127.0,73.61680799999998,7.4,4.312365790142601
121.0,82.502566,6.8,4.424877361923559
102.0,100.21391,7.6,4.617236198000783
127.0,56.257249,5.3,4.047554254506038
121.0,17.88953,4.9,2.938607800314524
163.0,64.798873,7.0,4.186602710525017
127.0,24.855701,6.3,3.252531118224791
138.0,34.981698,5.3,3.583010420293774
110.0,59.325589,5.4,4.099756375242958
124.0,21.605568,5.7,3.1181962476151375
106.0,26.074907999999997,5.9,3.2986073949126755
124.0,74.50624599999998,6.6,4.324215381309989
128.0,39.604363,6.0,3.703875523888134
138.0,36.973031,6.9,3.636876197236333
115.0,99.687084,6.1,4.612017529333376
100.0,17.7735,5.8,2.9324463009831785
114.0,62.898336,6.1,4.157293320355849
120.0,44.19092,6.0,3.810896181702348
156.0,100.635882,7.3,4.621396642086125
96.0,44.765377,6.1,3.823527844539074
107.0,29.91353,6.6,3.4311939521468684
92.0,84.366984,6.5,4.446959421828391
115.0,45.381501,7.3,3.83690069439125
90.0,84.68964799999998,6.9,4.450732024842038
117.0,120.09361,7.0,4.79656388285802
146.0,76.310119,7.4,4.347824852588733
94.0,63.473086,6.8,4.166247865401996
116.0,48.572726,6.2,3.903440803459704
147.0,38.068736,6.3,3.6653225563552563
90.0,20.678787,6.4,3.076334224821674
100.0,48.829437,6.2,3.908605913814876
139.0,46.115758,5.6,3.8526075098239025
107.0,89.938296,6.7,4.510181210592107
141.0,79.679601,7.7,4.3904857676102225
165.0,28.840997,6.3,3.3958831863055576
100.0,42.840582,5.0,3.780559918099086
82.0,26.548594,6.2,3.3159514998138615
97.0,115.597753,6.1,4.758730002718697
95.0,68.757242,6.7,4.245021243268715
152.0,109.984351,7.5,4.709389209391459
96.0,39.448066,5.4,3.7000188302477444
143.0,271.972889,7.5,5.609372482561317
123.0,206.227151,6.6,5.333815539445434
149.0,45.313196999999995,6.5,3.83542695287558
102.0,42.40024,6.3,3.770464971044986
133.0,2.871739,6.8,1.3537037601175816
130.0,7.255717999999999,7.1,2.1109060511791
129.0,81.49962099999998,7.0,4.412793699390689
106.0,47.686442,5.6,3.885400592971238
113.0,43.129703000000006,7.1,3.787133093143241
102.0,27.220157,6.4,3.3400365098393836
120.0,90.33681,6.0,4.514553882688911
125.0,50.073575,4.2,3.9332672401676265
104.0,45.419668,6.2,3.837723248731098
124.0,41.380094,6.2,3.7466787708650644
123.0,54.931334,5.9,4.024124759791685
130.0,25.752118,6.2,3.2866136477777306
92.0,60.810723,5.4,4.124076860739157
127.0,51.328145,7.2,3.9575343716381024
114.0,46.834703999999995,5.2,3.8677514011732828
123.0,62.641286,5.9,4.153262410682138
106.0,33.616115,5.2,3.544319325080227
124.0,68.889395,6.3,4.246913920991418
78.0,27.99028400000001,5.4,3.3669607393671246
109.0,67.33766999999999,6.4,4.224461151871215
119.0,27.835436,6.3,3.3616050474663273
102.0,66.757869,5.7,4.215940600616676
135.0,17.060695000000006,5.7,2.893738030083389
121.0,11.137655,4.9,2.4963126038757593
109.0,44.906918,5.9,3.8266158246637874
124.0,67.698004,6.4,4.229720144948882
140.0,44.108427,7.1,3.809069080495318
142.0,43.987061,6.4,3.806374915091352
92.0,106.815545,7.5,4.6804218503051
126.0,15.953444,6.3,2.83047099902772
136.0,54.035265,6.3,4.007974161581415
98.0,64.18332099999999,6.8,4.177203623323475
116.0,20.344364,5.0,3.0607877235608094
134.0,18.714197,5.8,2.981339036091766
114.0,60.467983999999994,6.0,4.118516453895011
101.0,143.350376,5.8,4.9722435108856
91.0,110.153618,7.3,4.710913190487734
108.0,16.90444,5.7,2.885048726781448
112.0,39.873791,5.8,3.710489050798329
100.0,38.126095,4.4,3.6667896356891294
108.0,48.780039,6.3,3.9076140803863066
114.0,100.412364,6.0,4.619195016662722
119.0,42.887121,6.0,3.7816209057409425
165.0,23.657284,6.8,3.205072353795476
125.0,76.840712,6.4,4.354664584804056
120.0,44.635452,6.5,3.820684870598216
119.0,103.718387,6.2,4.651274718503644
170.0,45.616098,7.0,3.8419459321210416
85.0,22.845143,4.9,3.1715805487965794
119.0,31.70360800000001,5.5,3.4874854082080335
102.0,71.51059599999998,6.1,4.283732702905644
103.0,36.65422,5.5,3.628445032958209
76.0,19.625972,5.7,3.026551058383017
121.0,86.105615,5.9,4.4671213479114895
127.0,37.19504600000001,6.6,3.642705821338717
105.0,32.473628000000005,5.5,3.510757904926989
121.0,23.336875,4.1,3.191992689834412
114.0,45.94834,6.6,3.8490478482666934
128.0,48.93337,6.4,3.9106895167271563
178.0,138.049577,8.0,4.9348305386041496
