popularity,runtime,vote_average,vote_count,release_year,genre_action,genre_adventure,genre_animation,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_foreign,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_scifi,genre_tvmovie,genre_thriller,genre_war,genre_western,cast_count,director_freq,director_label
40.688426,100.0,7.0,875,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1538
6.4204339999999975,117.0,5.4,134,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,3,1321
8.079046,116.0,7.0,139,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,11,3,566
40.72345900000001,94.0,5.8,1030,2012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,3,171
24.548633,127.0,7.3,630,1994,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,14,1602
0.295226,113.0,5.0,1,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1054
7.6635149999999985,100.0,6.8,148,2009,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,716
32.473628000000005,105.0,5.5,695,2013,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,5,1307
36.605246,110.0,5.6,924,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,10,1245
35.232278,95.0,5.8,715,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,1,1525
34.519636,109.0,6.2,1437,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,4,1180
3.208172,125.0,8.2,12,2003,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,1291
26.090495,97.0,5.4,581,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,271
7.008216,95.0,3.5,118,2005,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,4,1672
90.33681,120.0,6.0,2651,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,1651
32.875469,124.0,7.2,808,1940,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,3,362
82.975841,104.0,6.6,1954,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,3,665
10.032626,113.0,5.6,143,1979,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,1552
0.903529,118.0,6.3,30,2010,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1714
18.666876,109.0,6.3,363,2008,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,6,346
44.478043,115.0,6.7,1659,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,4,1130
30.537845,130.0,7.4,626,1993,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,10,3,554
2.244947,91.0,4.2,20,2002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,739
52.792678,143.0,7.3,2281,2006,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,7,456
4.4924550000000005,112.0,6.0,56,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1436
15.761384,114.0,4.7,183,2004,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,10,15,1322
134.27922900000002,141.0,7.3,6767,2015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,3,885
26.180367,136.0,7.5,863,1968,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,10,6,1408
16.829837,103.0,6.7,348,2009,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,320
0.293587,111.0,8.3,3,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,726
0.138564,97.0,2.9,15,1986,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,748
41.045084,110.0,6.7,1573,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,11,4,1451
29.761163,103.0,7.2,691,2015,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1346
7.161051,99.0,6.2,94,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,855
4.641006,137.0,7.4,71,1989,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,10,5,920
5.292536,94.0,7.3,23,2003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1083
38.018085,81.0,6.7,1062,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,12,770
32.798571,110.0,6.8,1626,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,297
51.927471,92.0,6.2,1428,2009,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,10,1,1226
13.847872,91.0,6.3,276,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,756
3.322721,107.0,5.9,43,1999,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,1,1570
28.353517,108.0,6.5,774,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,10,2,250
167.58371,148.0,8.1,13752,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,10,8,265
71.862892,115.0,5.9,2463,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,6,1071
5.566203,124.0,5.7,53,1999,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1412
8.792053999999998,77.0,3.8,48,1999,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,4,630
1.041254,96.0,7.4,163,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,70
31.25038300000001,91.0,5.2,788,2009,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1533
100.025899,194.0,7.5,7562,1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,10,7,662
9.191187,107.0,5.4,167,2015,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,740
